Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction
377,100,3.0,20,0.45,0.55
378,100,3.0,20,0.45,0.55
379,100,3.0,20,0.45,0.55
380,100,3.0,20,0.45,0.55
381,100,3.0,20,0.45,0.55
382,100,3.0,20,0.45,0.55
383,100,3.0,20,0.45,0.55
384,100,3.0,20,0.45,0.55
385,100,3.0,20,0.45,0.55
386,100,3.0,20,0.45,0.55
387,100,3.0,20,0.45,0.55
388,100,3.0,20,0.45,0.55
389,100,3.0,20,0.45,0.55
390,100,3.0,20,0.45,0.55
391,100,3.0,20,0.45,0.55
392,100,3.0,20,0.45,0.55
393,100,3.0,20,0.45,0.55
394,100,3.0,20,0.45,0.55
395,100,3.0,20,0.45,0.55
396,100,3.0,20,0.45,0.55
397,100,3.0,20,0.45,0.55
398,100,3.0,20,0.45,0.55
399,100,3.0,20,0.45,0.55
400,100,3.0,20,0.45,0.55
401,100,3.0,20,0.45,0.55
402,100,3.0,20,0.45,0.55
403,100,3.0,20,0.45,0.55
404,100,3.0,20,0.45,0.55
405,100,3.0,20,0.45,0.55
406,100,3.0,20,0.45,0.55
407,100,3.0,20,0.45,0.55
408,100,3.0,20,0.45,0.55
409,100,3.0,20,0.45,0.55
410,100,3.0,20,0.45,0.55
411,100,3.0,20,0.45,0.55
412,100,3.0,20,0.45,0.55
413,100,3.0,20,0.45,0.55
414,100,3.0,20,0.45,0.55
415,100,3.0,20,0.45,0.55
416,100,3.0,20,0.45,0.55
417,100,3.0,20,0.45,0.55
418,100,3.0,20,0.45,0.55
419,100,3.0,20,0.45,0.55
420,100,3.0,20,0.45,0.55
421,100,3.0,20,0.45,0.55
422,100,3.0,20,0.45,0.55
423,100,3.0,20,0.45,0.55
424,100,3.0,20,0.45,0.55
425,100,3.0,20,0.45,0.55
426,100,3.0,20,0.45,0.55
427,100,3.0,20,0.45,0.55
428,100,3.0,20,0.45,0.55
429,100,3.0,20,0.45,0.55
430,100,3.0,20,0.45,0.55
431,100,3.0,20,0.45,0.55
432,100,3.0,20,0.45,0.55
433,100,3.0,20,0.45,0.55
434,100,3.0,20,0.45,0.55
435,100,3.0,20,0.45,0.55
436,100,3.0,20,0.45,0.55
437,100,3.0,20,0.45,0.55
438,100,3.0,20,0.45,0.55
439,100,3.0,20,0.45,0.55
440,100,3.0,20,0.45,0.55
441,100,3.0,20,0.45,0.55
442,100,3.0,20,0.45,0.55
443,100,3.0,20,0.45,0.55
444,100,3.0,20,0.45,0.55
445,100,3.0,20,0.45,0.55
446,100,3.0,20,0.45,0.55
447,100,3.0,20,0.45,0.55
448,100,3.0,20,0.45,0.55
449,100,3.0,20,0.45,0.55
450,100,3.0,20,0.45,0.55
451,100,3.0,20,0.45,0.55
452,100,3.0,20,0.45,0.55
453,100,3.0,20,0.45,0.55
454,100,3.0,20,0.45,0.55
455,100,3.0,20,0.45,0.55
456,100,3.0,20,0.45,0.55
457,100,3.0,20,0.45,0.55
458,100,3.0,20,0.45,0.55
459,100,3.0,20,0.45,0.55
460,100,3.0,20,0.45,0.55
461,100,3.0,20,0.45,0.55
462,100,3.0,20,0.45,0.55
463,100,3.0,20,0.45,0.55
464,100,3.0,20,0.45,0.55
465,100,3.0,20,0.45,0.55
466,100,3.0,20,0.45,0.55
467,100,3.0,20,0.45,0.55
468,100,3.0,20,0.45,0.55
469,100,3.0,20,0.45,0.55
470,100,3.0,20,0.45,0.55
471,100,3.0,20,0.4,0.6
472,100,3.0,20,0.4,0.6
473,100,3.0,20,0.4,0.6
474,100,3.0,20,0.4,0.6
475,100,3.0,20,0.45,0.55
476,100,3.0,20,0.45,0.55
477,100,3.0,20,0.45,0.55
478,100,3.0,20,0.45,0.55
479,100,3.0,20,0.45,0.55
480,100,3.0,20,0.45,0.55
481,100,3.0,20,0.45,0.55
482,100,3.0,20,0.45,0.55
483,100,3.0,20,0.45,0.55
484,100,3.0,20,0.45,0.55
485,100,3.0,20,0.45,0.55
486,100,3.0,20,0.4,0.6
487,100,3.0,20,0.4,0.6
488,100,3.0,20,0.4,0.6
489,100,3.0,20,0.4,0.6
490,100,3.0,20,0.4,0.6
491,100,3.0,20,0.4,0.6
492,100,3.0,20,0.4,0.6
493,100,3.0,20,0.4,0.6
494,100,3.0,20,0.4,0.6
495,100,3.0,20,0.4,0.6
496,100,3.0,20,0.4,0.6
497,100,3.0,20,0.4,0.6
498,100,3.0,20,0.4,0.6
499,100,3.0,20,0.4,0.6
