Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction,With_Catalysis
390,100,3.0,20,0.0,1.0,True
391,100,3.0,20,0.0,1.0,True
392,100,3.0,20,0.0,1.0,True
393,100,3.0,20,0.0,1.0,True
394,100,3.0,20,0.0,1.0,True
395,100,3.0,20,0.0,1.0,True
396,100,3.0,20,0.0,1.0,True
397,100,3.0,20,0.0,1.0,True
398,100,3.0,20,0.0,1.0,True
399,100,3.0,20,0.0,1.0,True
400,100,3.0,20,0.0,1.0,True
401,100,3.0,20,0.0,1.0,True
402,100,3.0,20,0.0,1.0,True
403,100,3.0,20,0.0,1.0,True
404,100,3.0,20,0.0,1.0,True
405,100,3.0,20,0.0,1.0,True
406,100,3.0,20,0.0,1.0,True
407,100,3.0,20,0.0,1.0,True
408,100,3.0,20,0.0,1.0,True
409,100,3.0,20,0.0,1.0,True
410,100,3.0,20,0.0,1.0,True
411,100,3.0,20,0.0,1.0,True
412,100,3.0,20,0.0,1.0,True
413,100,3.0,20,0.0,1.0,True
414,100,3.0,20,0.0,1.0,True
415,100,3.0,20,0.0,1.0,True
416,100,3.0,20,0.0,1.0,True
417,100,3.0,20,0.0,1.0,True
418,100,3.0,20,0.0,1.0,True
419,100,3.0,20,0.0,1.0,True
420,100,3.0,20,0.0,1.0,True
421,100,3.0,20,0.0,1.0,True
422,100,3.0,20,0.0,1.0,True
423,100,3.0,20,0.0,1.0,True
424,100,3.0,20,0.0,1.0,True
425,100,3.0,20,0.0,1.0,True
426,100,3.0,20,0.0,1.0,True
427,100,3.0,20,0.0,1.0,True
428,100,3.0,20,0.0,1.0,True
429,100,3.0,20,0.0,1.0,True
430,100,3.0,20,0.0,1.0,True
431,100,3.0,20,0.0,1.0,True
432,100,3.0,20,0.0,1.0,True
433,100,3.0,20,0.0,1.0,True
434,100,3.0,20,0.0,1.0,True
435,100,3.0,20,0.0,1.0,True
436,100,3.0,20,0.0,1.0,True
437,100,3.0,20,0.0,1.0,True
438,100,3.0,20,0.0,1.0,True
439,100,3.0,20,0.0,1.0,True
440,100,3.0,20,0.0,1.0,True
441,100,3.0,20,0.0,1.0,True
442,100,3.0,20,0.0,1.0,True
